text,congress,chamber,date,,,,
"To consent to the ratification of the treaty of limits between the u.s. and the creek nation of indians, made on 6-16-02.",Seventh Congress,Senate,1803-01-04,,,,
"To consent to the ratification of the convention between the u.s. and the choctaw nation of indians, made on oct. 17, 1802.",Seventh Congress,Senate,1803-01-12,,,,
"To consent to the ratification of the treaty between the seneca indians and oliver phelps and others, made on 6-30-02.",Seventh Congress,Senate,1803-01-18,,,,
"To amend the mississippi river Resolution by authorizing the president to require the executives of the several states to arm and equip 80,000 militia, providing for one or more arsenals on the western waters and making an appropriation therefor.",Seventh Congress,Senate,1803-02-25,,,,
"To consent to the ratification of the treaty between the united states and the tuscarora nation of indians, made on dec. 4, 1802.",Seventh Congress,Senate,1803-03-01,,,,
"To pass the House bill to provide for the further protection of the seamen and commerce of the united states. (p. 563,4)",Eighth Congress,House,1803-11-17,,,,
To correct the journal of proceedings concerning the petition of william eaton concerning certain expenses incurred during his residence in barbary as united states consul; said correction to eliminate the clause of the committee report referring to the petition as premature and confirming that part of it giving petitioners leave to withdraw their claims. (p. 1168),Eighth Congress,House,1804-03-12,,,,
"To pass the House bill to provide for the protection of our commerce and seamen against barbary powers, and the financial means to carry such protection into effect.",Eighth Congress,House,1804-03-22,,,,
"To adopt a Resolution (7 stat 80, dec. 26, 1803) providing that the Senate agree to ratification of the treaty between the u.s. and the choctaw nation of indians, made on august 31, 1803.",Eighth Congress,Senate,1803-11-16,,,,
"To adopt a Resolution (7 stat 74, dec. 26, 1803) providing that the Senate agree to ratification of the treaty between the u.s. and the delawares and other indian tribes, made on june 7, 1803.",Eighth Congress,Senate,1803-11-16,,,,
"To ratify the treaty (7 stat 74, dec. 26, 1803) between the u.s. and the eel river and other tribes of indiana, concluded aug. 7, 1803.",Eighth Congress,Senate,1803-11-16,,,,
To ratify the treaty between the u.s. and the kuskaskeas tribe of indians.,Eighth Congress,Senate,1803-11-16,,,,
To ratify the treaty between the u.s. and england.,Eighth Congress,Senate,1804-02-09,,,,
"To ratify the treaty (7 stat 81, feb. 14, 1805) between the u.s. and the delaware indians, for the extinguishment of their title to a tract of country between the ohio and wabash rivers, concluded at vincennes on aug. 18, 1804.",Eighth Congress,Senate,1804-11-27,,,,
"To ratify the treaty (7 stat 83, feb. 6, 1805) between the u.s. and the piankeshaw indians, concluded at vincennes on aug. 27, 1804.",Eighth Congress,Senate,1804-11-27,,,,
"To instruct the sec. of the Senate to inform the House that the Senate will tomorrow, at 12 o'clock, proceed to the trial of the impeachment of samuel chase.",Eighth Congress,Senate,1805-02-07,,,,
"To provide that the Senate will on friday next at 12 o'clock, proceed on the trial of the articles of impeachment exhibited by the House against samuel chase.",Eighth Congress,Senate,1805-02-27,,,,
"To adopt the 3rd Resolution, providing that the power of originating bills for raising revenue, being exclusively vested in the House, these resolutions to be carried to them by the sec. of the Senate and that whenever they think proper, they may adopt such measures as in their wisdom may appear necessary and expedient for raising and collecting a revenue from louisiana.",Eighth Congress,Senate,1804-01-10,,,,
"To decide the competence of the managers of the impeachment trial of samuel chase, to ask the witness a certain question.",Eighth Congress,Senate,1805-02-11,,,,
"To decide whether smauel chase is guilty or not guilty of a high crime or misdemeanor, as charged in the 5th article of the impeachment.",Eighth Congress,Senate,1805-02-27,,,,
"To amend the journal of dec. 31, 1805, by rewording the resolutions appropriating for expenses incurred in intercourse with foreign nations, and the Resolution concerning the protection of seamen against barbary powers.",Ninth Congress,House,1806-02-06,,,,
To adopt the third part of the leander case Resolution. (p. 1093),Ninth Congress,House,1806-04-21,,,,
"To ratify the treaty (app. apr. 24, 1806, 7 stat l. 87) made and concluded at fort industry, on july 4, 1805, between the u.s. and agents of the connecticut land co. and the wyandot, ottawa, chippewa, munsee, delaware, shawnee, and pottawatamie indians.",Ninth Congress,Senate,1806-01-17,,,,
"To ratify the treaty (app. apr. 24, 1806, 7 stat l. 87) made and concluded at fort industry on the miami of the lake, july 4, 1805, between the u.s. and the wyandot, ottawa, chippewa, munsee, delaware, shawnee and potawatamie tribes of indians.",Ninth Congress,Senate,1806-01-17,,,,
"To adopt the first Resolution relating to the spoliation of our commerce on the high seas and the new principles assumed by british courts and admiralty, as a pretext for the condemnation of our vessels in the prize courts.",Ninth Congress,Senate,1806-02-12,,,,
"To ratify the treaty (7 stat 101, app. may 22, 1807) on jan. 7, 1806, between the u.s. and the cherokee nation of indians.",Ninth Congress,Senate,1806-04-16,,,,
"To adopt the Resolution that the president be requested to lay before the House all information which may at any time, from the establishment of the present federal government to the present, have been forwarded to any department of the government, regarding attempts to dismember the union, or bribery of officers of the u. s.",Tenth Congress,House,1808-01-13,,,,
"To agree to the Resolution that john smith of ohio be allowed counsel, to show cause why he should not be expelled from the Senate for his participation in the conspiracy of aaron burr.",Tenth Congress,Senate,1808-01-07,,,,
"To ratify the treaty between the united states and the choctaw nation of indians, concluded on 11/16/1805.",Tenth Congress,Senate,1808-01-27,,,,
"To ratify the treaty between the united united states and the ottawa, chippewa, wyandot and potawattomie nations of indians, made on 11/17/1807.",Tenth Congress,Senate,1808-01-27,,,,
To confirm the appointment of william pinckney as minister plenipotentiary at london.,Tenth Congress,Senate,1808-02-26,,,,
"To ratify the treaty between the united states and the cherokee tribe of indians, concluded on 9/11/1807.",Tenth Congress,Senate,1808-04-16,,,,
"To ratify the treaty with amendments, between the united states and the sioux tribe of indians, made at the mouth of river st. peters, on 9/23/1805.",Tenth Congress,Senate,1808-04-16,,,,
"To ratify the treaty between the united states and the chippewa, ottawa, wyandot, and other nations of indians, made at brownstown, michigan on 11/25/1808.",Tenth Congress,Senate,1809-02-25,,,,
To confirm the appointment of william short as minister plenipotentiary to the court of st. petersburgh.,Tenth Congress,Senate,1809-02-27,,,,
"To pass the bill (2 stat l. 550, 6/28/1809), to amend and continue in force, the act entitled, ""an act to interdict the commercial intercourse between the united states and great britain, and france, and their dependencies, and for other purposes.",Eleventh Congress,Senate,1809-06-19,,,,
"To ratify the treaty between the united states and the delaware, potawattamie, miami, and eel river indian tribes, together with the separate article entered into at the same time and place with the miami and eel river tribes, made and concluded at fort wayne, 9/30/1809.",Eleventh Congress,Senate,1810-01-02,,,,
"To ratify the convention between the u.s. and the weea tribe of indians, made and concluded at vincennes on 10/26/1809.",Eleventh Congress,Senate,1810-01-02,,,,
"To ratify the treaty between the united states and the kickapoo tribe of indians, made and concluded on 12/9/1809.",Eleventh Congress,Senate,1810-03-05,,,,
"To ratify the treaty between the united states and the great and little osage indians, made and concluded 11/10/1808, at fort clark.",Eleventh Congress,Senate,1810-04-28,,,,
"To pass the first part of the caracas Resolution, relating to relief measures for victims of an earthquake in caracas.",Twelfth Congress,House,1812-04-29,,,,
"To advise and consent to the appointment of james monroe as secretary of state. (p. 187, 192)",Twelfth Congress,Senate,1811-11-25,,,,
"To pass s. 5 (2 stat. l. 669, 12/24/1811), a bill for completing the existing military establishment.",Twelfth Congress,Senate,1811-12-16,,,,
"To pass h.r. 22, (2 stat. 674, 1/14/1812), a bill authorizing the purchase of ordnance and ordnance stores, camp equipment and other quartermaster stores and small arms. (p. 99)",Twelfth Congress,Senate,1812-01-13,,,,
To consent to the appointment of william r. davy to be a major-general.,Twelfth Congress,Senate,1813-03-01,,,,
"To order third reading of h.r. 170, a bill supplementary to the acts on uniform rule of naturalization.",Twelfth Congress,Senate,1813-03-03,,,,
To ratify the treaty between the united states and the cherokee nation of indians made and concluded at chickamogga on the tennessee river.,Twelfth Congress,Senate,1812-01-10,,,,
To consent to the appontment of james a. bayard to be a minister plenipotentiary and extraordinary to negotiate a treaty of peace and commerce with great britain.,Thirteenth Congress,Senate,1814-01-18,,,,
"To pass h. r. 135 (3 stat. 105, 3/19/1814), a bill making appropriations for support of the u. s. navy for 1814. (p.657)",Thirteenth Congress,Senate,1814-03-14,,,,
"To order engrossment and third reading of h. r. 207 (3 stat. 193, 1/27/1815), a bill authorizing the president to accept the services of volunteers who may associate and organize themselves, and offer their services to the government.",Thirteenth Congress,Senate,1815-01-07,,,,
"To order third reading of a Resolution (7 stat. 120, 2/16/1815), providing that the Senate advise and consent to the ratification of the articles of agreement and capitulation made under the authority of the united states as the basis of a treaty of permanent peace between major general andrew jackson and the creek nation of indians by their chief, deputies, and warriors concluded aug. 9, 1814.",Thirteenth Congress,Senate,1815-02-16,,,,
"To ratify the treaty (8 stat. 218, 2/17/1815), of peace and amity terminating the war of 1812, concluded on dec. 24, 1814 at ghent, between the united states and england.",Thirteenth Congress,Senate,1815-02-16,,,,
"To pass s. 87 (3 stat. 223, 3/3/1815), a bill repealing so much of the several acts imposing duties on the tonnage of ships and vessels, and on goods, wares and merchandise, imported into the united states, as imposes a discriminating duty on tonnage between foreign and united states vessels, and between goods imported into the united states, in foreign and united states vessels.",Thirteenth Congress,Senate,1815-02-23,,,,
To adjourn.,Thirteenth Congress,House,1813-08-02,,,,
"To ratify the treaty (7 stat. 1238 12-26-15), of peace friendship, made and concluded at portage des siouxs, between the u.s. and the chiefs and warriors of the potawatamie tribe of indians, residing on the illinois river, on 7-18-15.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 130, 12-26-15), of peace and friendship with the kickapoo tribe of indians, made at portage des siouxs, between the u.s. and said tribe on 9-2-15.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty of (7 stat. 136, 12-26-15), of peace and friendship between the u.s. and the king, chiefs and warriors of the taway tribe of indians, made and concluded at portage des siouxs on 9-16-15.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 125, 12-26-15), of peace and priendship between the u.s. and the chiefs and warriors of the teeton tribe of indians, made and concluded at portage des siouxs.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 126, 12--), of peace and friendship between the u.s. and the chiefs and warriors of the siouxs tribe of indians, made and concluded at portage des siouxs on 7-19-15.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 127, 2-26-15), of peace and friendship between the u.s. and the chiefs and warriors of the siouxs of the river st. peters, made and concluded on 7-19-15.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 124, 12-26-15), between the u.s. and the piankeshaw tribe of indians, made on 7-18-15.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 131, 12-26-15), between the u.s. and the wyandot, delaware, seneca, shawanoe, miami, chippewa, ottawa, and potawatamie tribes of indians, made on 9-8-15.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 128, 12-26-15), between the u.s. and the yancton tribe of indians, made on 7-19-15.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 134, 12-26-15), made on sept. 13, 1815, between the u.s. and that portion of the sac nation of indians now residing on the missouri river.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 135, 12-26-15), made on sept. 14, 1815, between the u.s. and the fox tribe of indians.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 133, 12-26-15), made on sept. 12, 1815, between the u.s. and the great and little osage tribes of indians.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 137, 12-26-15), made on oct. 28, 1815, between the u.s. and the kanzas tribe of indians.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the treaty (7 stat. 129, 12-26-15), between the u.s. and the mahas tribe of indians, of july 20, 1815.",Fourteenth Congress,Senate,1815-12-21,,,,
"To ratify the convention (7 stat. 139, 4-8-16), made and concluded at the city of washington on 3-22-16, between the u.s. and the chiefs and headmen of the cherokee nation of indians.",Fourteenth Congress,Senate,1816-04-04,,,,
"To ratify the treaty (7 stat. 138, 4-8-16), made on 3-22-16, between the u.s. and the cherokee nation of indians.",Fourteenth Congress,Senate,1816-04-04,,,,
"To ratify the treaty (7 stat. 145, 12-30-16), made on june 4, 1816, between the u.s. and the wea and kickapoo tribes of indians, at fort harrison.",Fourteenth Congress,Senate,1816-12-23,,,,
"To ratify the treaty (7 stat. 144, 12-30-16), made on june 3, 1816, between the u.s. and the portion of the winnebago tribe of indians residing on the ouisconsin river, at st. louis.",Fourteenth Congress,Senate,1816-12-23,,,,
"To ratify the treaty (7 stat. 141, 12-30-16), made on may 13, 1816, between the u.s. and the tribe of indians called the sacs of rock river.",Fourteenth Congress,Senate,1816-12-23,,,,
"To ratify the treaty (7 stat. 143, 12-30-16), made on june 1, 1816, between the u.s. and the tribes of indians called the sioux of the leaf, the siouxs of the broad leaf and the siouxs who shoot in the pine tops, at st. louis.",Fourteenth Congress,Senate,1816-12-23,,,,
"To ratify the treaty (7 stat. 150, 12-30-16), made on sept. 20, 1816, between the u.s. and the chickasaw nation of indians.",Fourteenth Congress,Senate,1816-12-23,,,,
"To ratify the treaty (7 stat. 148, 12-30-16), made on sept. 14, 1816, between the u.s. and the cherokee nation of indians, at turkey town.",Fourteenth Congress,Senate,1816-12-23,,,,
"To ratify the treaty (7 stat. 152, 12-30-16), of cession made on 10-24-16, between the u.s. and the choctaw nation of indians.",Fourteenth Congress,Senate,1816-12-23,,,,
"To ratify the treaty (7 stat. 146, 12-30-16), made on aug. 24, 1816, between the u.s. and the united tribes of ottawas, chippewas and pottawatomees, residing on the illinois and milwaukee rivers and their waters and on the southwestern parts of lake michigan.",Fourteenth Congress,Senate,1816-12-23,,,,
To adopt a Resolution ratifying a treaty between the u. s. and the menominee indians made on 3/30/1817 at st. louis.,Fifteenth Congress,Senate,1817-12-18,,,,
To adopt a Resolution ratifying a treaty between the u. s. and the ottoes indians made on 6/24/1817 at st. louis.,Fifteenth Congress,Senate,1817-12-18,,,,
"To adopt a Resolution ratifying a treaty between the u. s. and the poncarar indians, made on 6/25/1817 at st. louis.",Fifteenth Congress,Senate,1817-12-18,,,,
"To adopt a Resolution ratifying a treaty between the u. s. and the cherokee indians, made on 7/8/1817.",Fifteenth Congress,Senate,1817-12-18,,,,
"To amend the 6th article of treaty with the wyandot, seneca, delaware, shawanese, potawatamie, ottawas, and chippeway tribes of indians, which provides for certain grants of land to the indians; by adding: ""that in addition to said grants of land, there shall be reserved for the use of said tribe (delawares), a tract of 112 square miles, which shall be laid off, adjoining to, and on three sides of, the aforesaid tract of twelve square miles, in equal quantities on each side, to have the boundary line adjoining the tract to be granted to the delawares, at captain pipe's town, shall remain as provided by the original article"".",Fifteenth Congress,Senate,1818-01-13,,,,
"To amend the 6th article of treaty with the wyandot, seneca, delaware, shawanese, potowatamie, ottawas, and chippeway tribes of indians, by adding: ""and there shall be reserved from sale by the united states, after a survey of lands shall have been made, every quarter section and fraction of a section lying west of and adjoining the sandusky river, opposite the aforesaid tract provided to be granted to the chiefs for the seneca tribe, where such quarter section or fraction is now inhabited and occupied for cultivation, by any seneca indian or indians, and the same shall be reserved for the use of such indian or indians, while he or they shall continue to inhabit and occupy the same for cultivation.""",Fifteenth Congress,Senate,1818-01-13,,,,
"To pass a Resolution to ratify the 7th article of a treaty with the wyandot, seneca, delaware, shawanese, potawatamie, ottawas, and chippeway tribes of indians, said article has to do with disposal and use of lands ceded to the indians by their chiefs or their successors.",Fifteenth Congress,Senate,1818-01-13,,,,
"To amend the 7th section of the treaty with the wyandot, seneca, deleware, shawanese, potawatamie, ottawas and chippeway tribes of indians, by substituting ""that the chiefs or his successors may convey or refuse to convey to persons or his heirs mentioned in the sechedule, the quantity of land thereby secured to him and such land conveyed or granted pursuant to the treaty, shall not be sold, conveyed or leased to any person other than an indian unless authorized by an agreement between his tribe, in public council and an agent of the united states, and ratified by the president with the advice and consent of the Senate.""",Fifteenth Congress,Senate,1818-01-13,,,,
"To pass a Resolution to postpone further consideration of the treaty with the wyandot, seneca, delaware, shawanese, potawatamie, ottawas, and chippewa tribes of indians; and that the president negotiate further with said tribes.",Fifteenth Congress,Senate,1818-02-04,,,,
"To pass a Resolution ratifying the treaty of limits with the creek nation of indians, made on 1/22/1818.",Fifteenth Congress,Senate,1818-03-20,,,,
"To pass a Resolution ratifying the arrangement with great britain, relative to the naval force to be maintained on the lakes.",Fifteenth Congress,Senate,1818-04-16,,,,
"To ratify the treaty of peace between the pawnee marhar tribe of indians and the united states, made on 6/22/1818.",Fifteenth Congress,Senate,1818-12-17,,,,
"To ratify the treaty of peace between the pitavirate noisy pawnee tribe of indians and the united states, made on 6/19/1818.",Fifteenth Congress,Senate,1818-12-17,,,,
"To ratify the treaty of peace made on 6/20/1818, between the tribe of indians known as the pawnee republic and the united states.",Fifteenth Congress,Senate,1818-12-17,,,,
"To ratify the treaty of peace made on june 18, 1818, between the grand pawnee tribe of indians and the united states.",Fifteenth Congress,Senate,1818-12-17,,,,
"To ratify the treaty of peace made on sept. 20, 1818, between the wyandot tribe of indians and the united states.",Fifteenth Congress,Senate,1818-12-18,,,,
"To ratify the treaty between the peoria, kankaskia, mitchigamia, cahokia, and lamorois tribes of indians and the u. s. made on 9/25/1818.",Fifteenth Congress,Senate,1818-12-21,,,,
"To ratify the treaty of friendship, cession and limits made on 8/24/1818, between the united states and the chiefs and warriors of the quapaw tribe of indians.",Fifteenth Congress,Senate,1818-12-23,,,,
"To pass a Resolution ratifying treaty made on 9/29/1817, between the united states and the sachems, chiefs, and warriors of the wyandot, seneca, delaware, shawnee, potawatamie ottawas, and chippeway tribes of indians, also the supplementary treaty made on sept. 17, 1818, with the wyandot, seneca, shawnese and ottawas tribes of indians, both treaties as one.",Fifteenth Congress,Senate,1818-12-23,,,,
"To pass a Resolution ratifying a treaty made on sept. 25, 1818, between the united states and the chiefs and warriors of the great and little osage tribes of indians.",Fifteenth Congress,Senate,1818-12-24,,,,
"To pass a Resolution ratifying a treaty made on oct. 2, 1818, between the united states and the wea tribe of indians.",Fifteenth Congress,Senate,1818-12-28,,,,
"To pass a Resolution ratifying a treaty made on oct. 2, 1818, between the united states and the potawatamie nation of indians.",Fifteenth Congress,Senate,1818-12-28,,,,
"To pass a Resolution ratifying a treaty made on oct. 3, 1818, between the united states and the delaware nation of indians by their chiefs and wariors.",Fifteenth Congress,Senate,1818-12-28,,,,
"To pass a Resolution ratifying 7th treaty of friendship made on oct. 19, 1818, between the united states and the chiefs, headmen and warriors of the chickasaw nation of indians.",Fifteenth Congress,Senate,1819-01-06,,,,
"To pass a Resolution ratifying the treaty made on oct. 6, 1818, between the united states and the chiefs and warriors of the miami nation of indians.",Fifteenth Congress,Senate,1819-01-06,,,,
"To pass a Resolution ratifying the convention made in london oct. 20, 1818, between the united states and great gritain and ireland.",Fifteenth Congress,Senate,1819-01-25,,,,
"To pass a Resolution ratifying the treaty of amity, settlement and limits made on feb. 22, 1819, between the united states of america and spain, with reference to the floridas.",Fifteenth Congress,Senate,1819-02-24,,,,
"To pass a Resolution ratifying the convention made on feb. 27, 1819, between the united states and the chiefs and headmen of the cherokee nation of indians.",Fifteenth Congress,Senate,1819-03-03,,,,
"To pass a Resolution ratifying two additional articles relative to the peace treaty with the wyandot, seneca, delaware, shawanese, potawatamie, ottawa and chippeway tribes of indians.",Fifteenth Congress,Senate,1818-01-13,,,,
To ratify the treaty with the chippeway indians.,Sixteenth Congress,Senate,1820-03-02,,,,
"To ratify the treaty (2 stat. 202, 5/10/1820), made on august 30, 1820, between the united states and chiefs, warrior and headmen of the tribe of kickapoo indians of the vermillion.",Sixteenth Congress,Senate,1820-05-05,,,,
"To amend the sixth article of the treaty (7 stat. 200, 1/31/1821), with the kickapoo indians, made at edwardsville, by adding the words ""and exchange for"" in line 1 and the words ""to cede to the said tribe, to be by them possessed in like manner as the lands ceded by the first article of this treaty, by them to the u. s."", in line 2.",Sixteenth Congress,Senate,1820-05-09,,,,
To ratify the treaty as amendmed.,Sixteenth Congress,Senate,1820-05-10,,,,
"To ratify the treaty (7 stat. 210, 1/8/1821), of friendship, limits and accommodation with the choctaw indians made on 10/18/1820.",Sixteenth Congress,Senate,1820-12-22,,,,
"To ratify the treaty, made and concluded between the u. s. and the nea indians, by their chiefs, warriors, and headmen, on 8/11/1820.",Sixteenth Congress,Senate,1821-01-03,,,,
"To ratify the convention (7 stat. 210, 1/8/1821), with the kickapoo indians of the vermillion, concluded at vincermes, indiana, on september 5, 1820.",Sixteenth Congress,Senate,1821-01-03,,,,
"To ratify the Resolution (8 stat. 244, 2/11/1822), providing that the Senate advise and consent to the ratification of the treaty of peace and amity between the united states and the bey and regency of algiers, made and concluded on dec. 23, 1816.",Seventeenth Congress,Senate,1822-02-01,,,,
"To consent to the ratification of the convention between the united states and great britain, under the mediation of his imperial majesty of all the russians, concluded at st. petersburg on july 12, 1822.",Seventeenth Congress,Senate,1823-01-03,,,,
"To ratify the Resolution (8 stat. 278, 2/12/1823), providing for the convention of navigation and commerce, and the first article attached thereto, made and concluded between the united states and the king of france and navarre, on the 24th day of june 1822, at the city of washington.",Seventeenth Congress,Senate,1823-01-31,,,,
To ratify the treaty concluded with the great and little osage tribes of indians on the 8/31/1822.,Seventeenth Congress,Senate,1823-02-06,,,,
"To ratify the Resolution (7 stat. 223, 2/13/1823), providing for the treaty between the united states and the sac and fox tribe of indians, entered into sept. 3, 1822 at fort armstrong.",Seventeenth Congress,Senate,1823-02-06,,,,
"To concur in the Resolution of the select committee requisting the president to submit a report on 12/1/1824, on the number and status of lots owned by the u. s. in washington, d. c.",Eighteenth Congress,House,1824-05-13,,,,
"To amend the Resolution by substituting the words ""florida tribes"", instead of ""seminole tribes.""",Eighteenth Congress,Senate,1823-12-23,,,,
To adopt the Resolution.,Eighteenth Congress,Senate,1823-12-23,,,,
"To adopt a Resolution (7 stat. 228, 5-17-24), providing that the Senate advise and consent to the ratification of the treaty made and concluded at the garrison of tellico, on cherokee ground, 10-24-04, between the u.s. and the cherokee indians.",Eighteenth Congress,Senate,1824-05-13,,,,
"To adopt a Resolution (8 stat. 298, 1-21-25), providing that the Senate advise and consent to the ratification of the convention concluded feb. 21, 1824, between the u.s. and the bay of tunis.",Eighteenth Congress,Senate,1825-01-13,,,,
"To adopt a Resolution (7 stat. 231, 1-18-25), providing that the Senate advise and consent to the ratification of the treaty between the u.s. and the ioway indians, made and concluded 8-4-24.",Eighteenth Congress,Senate,1825-01-13,,,,
"To adopt a Resolution ( 7 stat. 229, 1-18-25), providing that the Senate advise and consent to the ratification of the treaty between the u.s. and the sac and fox indians, made and concluded on 8-4-24.",Eighteenth Congress,Senate,1825-01-13,,,,
"To adopt a Resolution (8 stat. 306, 5-3-25), providing that the Senate advise and consent to the ratification of a general convention of peace, amity, navigation and commerce between the u.s. and the republic of columbia, concluded oct. 3, 1824, at bogota.",Eighteenth Congress,Senate,1825-03-03,,,,
To decide to eliminate the words "seminole tribe" from the Resolution.,Eighteenth Congress,Senate,1823-12-23,,,,
"To advise and consent to the tenth article of the treaty made and concluded between the u.s. and the seminole indians 9-18-23, at moultrie creek.",Eighteenth Congress,Senate,1823-12-22,,,,
"To amend the Resolution regarding the treaty with the seminole indians in florida, whereby a cession of territory is made to the u.s., by eliminating the tenth article of the treaty.",Eighteenth Congress,Senate,1823-12-22,,,,
To adopt the Resolution to ratify the treaty between the u.s. and the great and little osage tribes of indians.,Nineteenth Congress,Senate,1825-12-26,,,,
To pass a Resolution ratifying a treaty between the u.s. and the kauzas nation of indians.,Nineteenth Congress,Senate,1825-12-26,,,,
To pass a Resolution ratifying a treaty between the u.s. and the shawnee nation of indians.,Nineteenth Congress,Senate,1825-12-26,,,,
"To pass a Resolution ratifying a treaty of peace, amity, commerce, and navigation between the u.s. and the federation of the center of america.",Nineteenth Congress,Senate,1825-12-29,,,,
